lookback_period,buy_threshold_percentage,sell_threshold_percentage,cooldown_period,apy_percentage,max_drawdown_percentage,sharpe_ratio,trade_count,won_count,lost_count,won_rate,lost_rate,profit_factor
21,12,14,7,-27.489521370705766,85.93977657728269,-0.6875567585510461,449,183,266,40.75723830734967,59.24276169265033,0.8505266115486185
21,12,14,10,-37.19914677411641,92.85111943791954,-1.5107972221085522,449,187,262,41.648106904231625,58.35189309576837,0.7868270829057625
21,12,14,13,-41.56449760420417,95.07467002879932,-1.825960522638615,453,187,266,41.280353200883,58.719646799117,0.7843290154172783
21,12,14,16,-37.680400594657414,93.79113089427149,-1.056303067306771,454,199,255,43.83259911894273,56.167400881057276,0.8071816548925833
21,12,17,1,-31.615367633065354,89.18177348010329,-1.1240854127548128,444,184,260,41.44144144144144,58.55855855855856,0.819502654969103
21,12,17,4,-24.11104704136358,84.49956528406125,-0.38587919731949816,452,189,263,41.8141592920354,58.1858407079646,0.878964202285323
21,12,17,7,-27.489521370705766,85.93977657728269,-0.6875567585510461,449,183,266,40.75723830734967,59.24276169265033,0.8505266115486185
21,12,17,10,-37.19914677411641,92.85111943791954,-1.5107972221085522,449,187,262,41.648106904231625,58.35189309576837,0.7868270829057625
21,12,17,13,-41.56449760420417,95.07467002879932,-1.825960522638615,453,187,266,41.280353200883,58.719646799117,0.7843290154172783
21,12,17,16,-37.680400594657414,93.79113089427149,-1.056303067306771,454,199,255,43.83259911894273,56.167400881057276,0.8071816548925833
21,12,20,1,-31.615367633065354,89.18177348010329,-1.1240854127548128,444,184,260,41.44144144144144,58.55855855855856,0.819502654969103
21,12,20,4,-24.11104704136358,84.49956528406125,-0.38587919731949816,452,189,263,41.8141592920354,58.1858407079646,0.878964202285323
21,12,20,7,-27.489521370705766,85.93977657728269,-0.6875567585510461,449,183,266,40.75723830734967,59.24276169265033,0.8505266115486185
21,12,20,10,-37.19914677411641,92.85111943791954,-1.5107972221085522,449,187,262,41.648106904231625,58.35189309576837,0.7868270829057625
21,12,20,13,-41.56449760420417,95.07467002879932,-1.825960522638615,453,187,266,41.280353200883,58.719646799117,0.7843290154172783
21,12,20,16,-37.680400594657414,93.79113089427149,-1.056303067306771,454,199,255,43.83259911894273,56.167400881057276,0.8071816548925833
21,14,5,1,-32.87272530142919,91.22275054067606,-1.0429976939985979,443,183,260,41.309255079006775,58.69074492099323,0.8188334878812525
21,14,5,4,-20.065205775375,85.56054005875824,-0.05401206581452344,454,190,264,41.85022026431718,58.14977973568281,0.9154734766988929
21,14,5,7,-26.44335235944459,85.41689447320307,-0.6057067191210421,450,186,264,41.333333333333336,58.666666666666664,0.8545982729291435
21,14,5,10,-34.39971535986876,91.13600185474567,-1.618025139430866,450,186,264,41.333333333333336,58.666666666666664,0.8054941651111132
21,14,5,13,-37.4211583590518,93.17412121617582,-1.6141723921050792,453,188,265,41.501103752759384,58.498896247240616,0.8027720963893111
21,14,5,16,-32.60716554390907,92.9534096269589,-0.770432256003538,453,196,257,43.26710816777042,56.73289183222958,0.8564669682812415
21,14,8,1,-32.87272530142919,91.22275054067606,-1.0429976939985979,443,183,260,41.309255079006775,58.69074492099323,0.8188334878812525
21,14,8,4,-20.065205775375,85.56054005875824,-0.05401206581452344,454,190,264,41.85022026431718,58.14977973568281,0.9154734766988929
21,14,8,7,-26.44335235944459,85.41689447320307,-0.6057067191210421,450,186,264,41.333333333333336,58.666666666666664,0.8545982729291435
21,14,8,10,-34.39971535986876,91.13600185474567,-1.618025139430866,450,186,264,41.333333333333336,58.666666666666664,0.8054941651111132
21,14,8,13,-37.4211583590518,93.17412121617582,-1.6141723921050792,453,188,265,41.501103752759384,58.498896247240616,0.8027720963893111
21,14,8,16,-32.60716554390907,92.9534096269589,-0.770432256003538,453,196,257,43.26710816777042,56.73289183222958,0.8564669682812415
21,14,11,1,-32.87272530142919,91.22275054067606,-1.0429976939985979,443,183,260,41.309255079006775,58.69074492099323,0.8188334878812525
21,14,11,4,-20.065205775375,85.56054005875824,-0.05401206581452344,454,190,264,41.85022026431718,58.14977973568281,0.9154734766988929
21,14,11,7,-26.44335235944459,85.41689447320307,-0.6057067191210421,450,186,264,41.333333333333336,58.666666666666664,0.8545982729291435
21,14,11,10,-34.39971535986876,91.13600185474567,-1.618025139430866,450,186,264,41.333333333333336,58.666666666666664,0.8054941651111132
21,14,11,13,-37.4211583590518,93.17412121617582,-1.6141723921050792,453,188,265,41.501103752759384,58.498896247240616,0.8027720963893111
21,14,11,16,-32.60716554390907,92.9534096269589,-0.770432256003538,453,196,257,43.26710816777042,56.73289183222958,0.8564669682812415
21,14,14,1,-32.87272530142919,91.22275054067606,-1.0429976939985979,443,183,260,41.309255079006775,58.69074492099323,0.8188334878812525
21,14,14,4,-20.065205775375,85.56054005875824,-0.05401206581452344,454,190,264,41.85022026431718,58.14977973568281,0.9154734766988929
21,14,14,7,-26.44335235944459,85.41689447320307,-0.6057067191210421,450,186,264,41.333333333333336,58.666666666666664,0.8545982729291435
21,14,14,10,-34.39971535986876,91.13600185474567,-1.618025139430866,450,186,264,41.333333333333336,58.666666666666664,0.8054941651111132
21,14,14,13,-37.4211583590518,93.17412121617582,-1.6141723921050792,453,188,265,41.501103752759384,58.498896247240616,0.8027720963893111
21,14,14,16,-32.60716554390907,92.9534096269589,-0.770432256003538,453,196,257,43.26710816777042,56.73289183222958,0.8564669682812415
21,14,17,1,-32.87272530142919,91.22275054067606,-1.0429976939985979,443,183,260,41.309255079006775,58.69074492099323,0.8188334878812525
21,14,17,4,-20.065205775375,85.56054005875824,-0.05401206581452344,454,190,264,41.85022026431718,58.14977973568281,0.9154734766988929
